Phylum	Family	Species	Strain/Accession	Isolate	Location	SSU	ITS	LSU	SSU-ITS-LSU	Notes	Reference(s)	FASTA Header	FASTA Header Formatted
Blastocladiomycota	Blastocladiaceae	Allomyces anomalus	CZEUM1632	California_06	USA-CA	HQ888685	HQ888722	JN941231	NA	NA	"Porter et al. 2011, Schoch et al. 2012"	>Allomyces anomalus CZEUM1632 USA-CA	>Allomyces_anomalus_CZEUM1632_USA-CA
Blastocladiomycota	Blastocladiaceae	Allomyces anomalus	CZEUM1641	British East Africa 2	Africa	HQ888684	NA	HQ888742	NA	NA	Porter et al. 2011	>Allomyces anomalus CZEUM1641 Africa	>Allomyces_anomalus_CZEUM1641_Africa
Blastocladiomycota	Blastocladiaceae	Allomyces arbusculus	CZEUM1643	Belgian Congo 1	Congo	HQ888690	HQ888726	HQ888746	NA	NA	Porter et al. 2011	>Allomyces arbusculus CZEUM1643 Congo	>Allomyces_arbusculus_CZEUM1643_Congo
Blastocladiomycota	Blastocladiaceae	Allomyces arbusculus	CZEUM1666	Denmark 1	Denmark	HQ888691	HQ888727	HQ888747	NA	NA	Porter et al. 2011	>Allomyces arbusculus CZEUM1666 Denmark	>Allomyces_arbusculus_CZEUM1666_Denmark
Blastocladiomycota	Blastocladiaceae	Allomyces arbusculus	CZEUM1673	Texas_1	USA-TX	HQ888687	HQ888724	HQ888743	NA	NA	Porter et al. 2011	>Allomyces arbusculus CZEUM1673 USA-TX	>Allomyces_arbusculus_CZEUM1673_USA-TX
Blastocladiomycota	Blastocladiaceae	Allomyces arbusculus	NA	Brazil 2	Brazil	AY552524	AY997028	AY552525	NA	CZEUM1847 deceased	"James and Vilgalys 2004, James et al. 2006"	>Allomyces arbusculus Brazil 2 Brazil	>Allomyces_arbusculus_Brazil_2_Brazil
Blastocladiomycota	Blastocladiaceae	Allomyces arbusculus	NA	MAR CW16	Australia	HQ888694	HQ888729	HQ888749	NA	CZEUM1862 deceased	Porter et al. 2011	>Allomyces arbusculus MAR CW16 Australia	>Allomyces_arbusculus_MAR_CW16_Australia
Blastocladiomycota	Blastocladiaceae	Allomyces javanicus	CZEUM1654	Cuba_S_07	Cuba	NA	HQ888720	HQ888739	NA	NA	Porter et al. 2011	>Allomyces javanicus CZEUM1654 Cuba	>Allomyces_javanicus_CZEUM1654_Cuba
Blastocladiomycota	Blastocladiaceae	Allomyces javanicus	CZEUM1755	India_B2	India	NA	NA	HQ888738	NA	NA	Porter et al. 2011	>Allomyces javanicus CZEUM1755 India	>Allomyces_javanicus_CZEUM1755_India
Blastocladiomycota	Blastocladiaceae	Allomyces macrogynus	CZEUM1635	Australia_3	Australia	HQ888686	HQ888723	JN941226	NA	NA	"Porter et al. 2011, Schoch et al. 2012"	>Allomyces macrogynus CZEUM1635 Australia	>Allomyces_macrogynus_CZEUM1635_Australia
