File	ITS1	5.8S	ITS2	Full_ITS	Notes
AB023974	949	154	292	NA	LSU-missing
AB023993	771	154	239	NA	LSU-missing
AB040114	1143	155	193	NA	LSU-missing
AB042641	221	154	143	NA	SSU-missing
AB076369	488	155	477	1119	NA
AB076370	486	155	477	1117	NA
AB076371	474	155	483	1111	NA
AB076372	487	155	481	1122	NA
AB077183	847	155	339	NA	SSU-missing,LSU-missing
AB077184	822	155	339	NA	SSU-missing,LSU-missing
AB077185	824	155	339	NA	SSU-missing,LSU-missing
AB077186	827	155	340	NA	SSU-missing,LSU-missing
AB077187	823	155	339	NA	SSU-missing,LSU-missing
AB181155	641	154	477	1271	NA
AB181156	628	154	423	1204	NA
AB181158	589	154	422	1164	NA
AB181159	639	154	426	1218	NA
AB194055	485	160	597	1241	NA
AB194056	482	160	600	1241	NA
AB194057	479	160	600	1238	NA
AB194058	489	160	599	1247	NA
AB194059	488	160	604	1251	NA
AB194060	482	160	600	1241	NA
AB194061	479	160	597	1235	NA
AB194062	479	160	597	1235	NA
AB194063	479	160	597	1235	NA
AB244623	577	154	437	1167	NA
AB244624	602	154	439	1194	NA
AB244631	624	154	461	1238	NA
AB244990	812	150	243	1204	NA
AB244991	812	150	243	1204	NA
AB244992	812	150	243	1204	NA
AB244993	812	150	243	1204	NA
AB244994	812	150	243	1204	NA
AB244995	812	150	243	1204	NA
AB244996	812	150	243	1204	NA
AB244997	812	150	243	1204	NA
AB244998	812	150	243	1204	NA
AB244999	812	150	243	1204	NA
AB245000	812	150	243	1204	NA
AB245001	812	150	243	1204	NA
AB245002	812	150	243	1204	NA
AB245003	812	150	243	1204	NA
AB245004	812	150	243	1204	NA
AB245005	812	150	243	1204	NA
AB245006	812	150	243	1204	NA
AB245007	812	150	243	1204	NA
AB245008	812	150	243	1204	NA
AB245009	812	150	243	1204	NA
AB245010	812	150	243	1204	NA
AB245011	812	150	243	1204	NA
AB245012	812	150	243	1204	NA
AB245013	812	150	243	1204	NA
AB245014	812	150	243	1204	NA
AB245015	812	150	243	1204	NA
AB245016	812	150	243	1204	NA
AB245017	812	150	243	1204	NA
AB245018	812	150	243	1204	NA
AB245019	812	150	243	1204	NA
AB245020	812	150	243	1204	NA
AB245021	812	150	243	1204	NA
AB245022	812	150	243	1204	NA
AB245023	812	150	243	1204	NA
AB245024	812	150	243	1204	NA
AB246762	193	154	164	510	NA
AB254968	557	154	462	1172	NA
AB254969	557	154	463	1173	NA
AB254970	556	154	456	1165	NA
AB254971	556	154	456	1165	NA
AB254972	556	154	456	1165	NA
AB254973	556	154	456	1165	NA
AB254974	556	154	456	1165	NA
AB254975	556	154	456	1165	NA
AB254976	557	154	463	1173	NA
AB254977	556	154	463	1172	NA
AB254978	556	154	463	1172	NA
AB254979	557	154	462	1172	NA
AB254980	556	154	455	1164	NA
AB254981	551	154	462	1166	NA
AB254982	557	154	456	1166	NA
AB254983	556	154	463	1172	NA
AB254984	557	154	463	1173	NA
AB254985	556	154	462	1171	NA
AB254986	556	154	462	1171	NA
AB254987	556	154	462	1171	NA
AB254988	556	154	462	1171	NA
AB254989	556	154	455	1164	NA
AB254990	557	154	455	1165	NA
