File	ITS1	5.8S	ITS2	Full_ITS	Notes
full-GCA_000001215-AE014298.5_23211192-23217141	723	179	392	1293	NA
full-GCA_000001215-CP007120.1_43486-49488	727	179	395	1300	NA
full-GCA_000005215-CH481017.1_15054-9099	692	179	398	1268	NA
full-GCA_000143415-GL377633.1_35987-29506	323	154	805	1281	NA
full-GCA_000705575-JAQD01000627.1_183-6178	727	179	395	1300	NA
full-GCA_000705575-JAQD01000647.1_36-5551	723	179	392	1293	NA
full-GCA_000757685-AOSB01006501.1_8401-2197	537	158	695	1389	NA
full-GCA_000778455-JSAE01000003.1_9115-15095	727	179	394	1299	NA
full-GCA_000778455-JSAE01000016.1_7165-13097	725	153	418	1295	NA
full-GCA_000778455-JSAE01000022.1_14524-20483	721	153	385	1258	NA
full-GCA_000778455-JSAE01000060.1_2327-8492	725	179	395	1298	NA
full-GCA_000778455-JSAE01000061.1_1475-7370	727	179	395	1300	NA
full-GCA_000778455-JSAE01000086.1_16512-22675	727	179	396	1301	NA
full-GCA_000778455-JSAE01000100.1_10460-3343	721	177	389	1286	NA
full-GCA_000778455-JSAE01000110.1_18039-23869	720	179	394	1292	NA
full-GCA_000778455-JSAE01000166.1_3605-12622	723	178	393	1293	NA
full-GCA_000778455-JSAE01000179.1_5366-14511	728	179	395	1301	NA
full-GCA_000778455-JSAE01000184.1_78087-69228	683	179	415	1276	LSU_dup
full-GCA_000778455-JSAE01000211.1_12380-23186	726	179	396	1300	NA
full-GCA_000778455-JSAE01000213.1_2-6829	679	179	395	1252	NA
full-GCA_000778455-JSAE01000229.1_14264-24579	728	179	395	1301	NA
full-GCA_000778455-JSAE01000287.1_22688-16739	723	179	392	1293	NA
full-GCA_000778455-JSAE01000342.1_9603-20359	721	179	395	1294	NA
full-GCA_000778455-JSAE01000348.1_14744-25572	727	179	395	1300	NA
full-GCA_000778455-JSAE01000353.1_5176-11179	715	152	418	1284	NA
full-GCA_000778455-JSAE01000372.1_9066-18966	730	179	395	1303	NA
full-GCA_000778455-JSAE01000397.1_13402-6100	730	180	395	1304	NA
full-GCA_000778455-JSAE01000413.1_11519-723	726	179	395	1299	NA
full-GCA_000778455-JSAE01000473.1_461-6372	718	178	393	1288	NA
full-GCA_000778455-JSAE01000576.1_17972-28521	727	179	395	1300	NA
full-GCA_000778455-JSAE01000577.1_25434-32222	727	179	396	1301	NA
full-GCA_000778455-JSAE01000586.1_13713-19428	721	177	401	1298	NA
full-GCA_000778455-JSAE01000622.1_22770-29954	727	179	395	1300	NA
