File	ITS1	5.8S	ITS2	Full_ITS	Notes
AB236918	71	150	82	302	NA
AB236920	71	150	82	302	NA
AB236921	71	150	82	302	NA
AB236922	71	150	82	302	NA
AB236924	71	150	82	302	NA
AB300502	85	149	71	304	NA
AB514601	71	139	56	265	NA
AB727593	65	151	97	312	NA
AB727594	66	151	97	313	NA
AB727595	65	151	97	312	NA
AB727597	65	151	97	312	NA
AB727598	65	151	97	312	NA
AB727600	65	151	97	312	NA
AB727601	65	151	97	312	NA
AB727602	65	151	97	312	NA
AB727603	65	151	97	312	NA
AB727604	66	151	97	313	NA
AB727606	65	151	97	312	NA
AB727608	65	151	97	312	NA
AB727610	65	151	97	312	NA
AB727642	69	149	69	286	NA
AB727644	81	149	72	301	NA
AB727647	69	149	69	286	NA
AB727649	70	149	69	287	NA
AB922628	65	150	77	291	NA
AF009215	70	150	78	297	NA
AF015250	68	148	68	283	NA
AF157596	69	149	69	286	NA
AJ279445	69	149	69	286	NA
AJ279451	69	149	69	286	NA
AJ876893	69	149	69	286	NA
AM231721	67	150	72	288	NA
AM231722	67	150	72	288	NA
AM231723	67	150	72	288	NA
AM231724	67	150	72	288	NA
AM231725	67	150	72	288	NA
AM262327	69	150	75	293	NA
AM398199	34	139	80	252	NA
AM398200	40	139	80	258	NA
AM398201	39	139	81	258	NA
AM946761	69	142	76	286	NA
AY172991	42	142	78	261	NA
AY174102	70	150	78	297	NA
AY271805	43	150	75	267	NA
AY271806	42	150	75	266	NA
AY271807	64	150	77	290	NA
AY301026	70	150	77	296	NA
AY349456	70	150	83	302	NA
AY349457	70	150	83	302	NA
AY493434	70	150	78	297	NA
AY500373	73	149	82	303	NA
AY500375	67	150	72	288	NA
AY787702	69	149	69	286	NA
AY939811	69	150	78	296	NA
AY939812	69	150	78	296	NA
DQ249208	70	150	78	297	NA
DQ279844	72	139	56	266	NA
DQ286062	68	149	69	285	NA
DQ534407	71	150	87	307	NA
DQ668345	61	149	64	273	NA
DQ668347	61	149	64	273	NA
DQ668349	63	149	61	272	NA
DQ668351	69	149	69	286	NA
DQ668352	63	149	61	272	NA
DQ668355	61	149	64	273	NA
DQ680837	73	149	82	303	NA
DQ680838	63	149	61	272	NA
DQ680840	61	149	64	273	NA
DQ680844	63	149	61	272	NA
DQ680845	61	149	64	273	NA
DQ681360	69	149	69	286	NA
DQ681363	69	149	69	286	NA
DQ683007	63	149	61	272	NA
DQ683008	61	149	64	273	NA
DQ683010	63	149	61	272	NA
DQ683011	61	149	64	273	NA
DQ907937	69	149	69	286	NA
DQ988045	71	150	85	305	NA
DQ988046	73	150	85	307	NA
DQ988047	72	150	85	306	NA
EF087983	70	149	69	287	NA
EF136370	69	150	78	296	NA
EF137918	75	150	82	306	NA
EF151449	69	150	78	296	NA
EF159152	74	149	68	290	NA
EF190232	61	149	64	273	NA
EF192220	61	149	64	273	NA
EF192222	72	149	82	302	NA
EF194845	61	149	64	273	NA
EF197819	61	149	64	273	NA
EF221824	70	150	78	297	NA
EF621566	60	149	59	267	NA
EF643578	61	149	63	272	NA
EF643579	61	149	63	272	NA
EF643580	77	149	68	293	NA
EF643581	71	150	87	307	NA
EF643594	61	149	64	273	NA
EU131181	67	149	68	283	NA
EU137672	65	150	77	291	NA
EU149777	70	150	78	297	NA
EU252546	61	149	64	273	NA
EU284101	71	150	86	306	NA
EU343805	73	150	67	289	NA
EU343806	60	149	57	265	NA
EU343825	63	141	86	289	NA
EU343853	71	153	79	302	NA
EU343864	79	146	58	282	NA
EU409795	69	150	78	296	NA
EU568907	70	150	78	297	NA
EU568919	70	150	83	302	NA
EU568921	70	150	83	302	NA
EU568923	69	150	78	296	NA
EU568925	69	150	78	296	NA
EU603297	61	149	63	272	NA
EU826892	69	149	69	286	NA
FJ176541	69	149	69	286	NA
FJ183442	70	150	78	297	NA
FJ196774	80	149	68	296	NA
FJ196782	59	149	57	264	NA
FJ515166	73	149	82	303	NA
FJ515168	65	149	59	272	NA
FJ515197	61	149	64	273	NA
FJ623593	67	150	77	293	NA
FJ623594	67	150	77	293	NA
FJ623605	67	152	73	291	NA
FJ623613	67	150	82	298	NA
FJ623624	72	150	83	304	NA
FJ623625	72	150	82	303	NA
FJ763558	74	139	56	268	NA
FJ763559	74	139	56	268	NA
FJ763560	74	139	56	268	NA
FJ763561	74	139	56	268	NA
FJ810135	72	152	82	305	NA
FJ820833	65	149	58	271	NA
FM177678	69	149	69	286	NA
FM177681	73	149	82	303	NA
FM178327	79	146	58	282	NA
FM178330	60	149	57	265	NA
FM178358	71	153	79	302	NA
FM178368	63	141	86	289	NA
FM178370	73	150	67	289	NA
FN433523	72	150	81	302	NA
GQ373002	69	149	69	286	NA
GQ376068	61	149	64	273	NA
GQ376072	69	150	78	296	NA
GQ376073	69	151	78	297	NA
GQ376074	65	151	97	312	NA
GQ376093	69	149	69	286	NA
GQ402827	70	150	83	302	NA
GQ458034	70	149	69	287	NA
GQ913345	71	149	82	301	NA
GU126451	68	152	88	307	NA
GU126453	60	149	66	274	NA
GU126455	72	152	85	308	NA
GU246264	71	153	79	302	NA
GU327467	69	149	69	286	NA
GU931322	65	150	77	291	NA
HE975034	69	149	69	286	NA
HG532090	69	150	78	296	NA
HG936003	69	149	69	286	NA
HG936004	68	149	69	285	NA
HG936005	69	149	69	286	NA
HG936006	69	149	69	286	NA
HG936007	69	149	69	286	NA
HG936008	69	149	69	286	NA
HG936009	68	149	69	285	NA
HG936010	68	149	69	285	NA
HG936011	69	149	69	286	NA
HG936012	69	149	69	286	NA
HG936013	69	149	69	286	NA
HG936014	73	149	68	289	NA
HG936015	69	149	69	286	NA
HG936016	70	149	69	287	NA
HG936017	69	149	69	286	NA
HG936018	69	149	69	286	NA
HG936019	69	149	69	286	NA
HG936020	69	149	69	286	NA
HG936021	69	149	69	286	NA
HG936022	69	149	69	286	NA
HG936023	69	149	69	286	NA
HG936024	69	149	69	286	NA
HG936025	69	149	69	286	NA
HG936026	69	149	69	286	NA
HG936027	69	149	69	286	NA
HG936028	69	149	69	286	NA
HG936029	69	149	69	286	NA
HG936030	69	149	69	286	NA
HG936031	69	149	69	286	NA
HG936032	69	149	69	286	NA
HG936033	69	149	69	286	NA
HG936034	69	149	69	286	NA
HG936035	68	149	69	285	NA
HG936036	68	149	69	285	NA
HG936037	69	149	69	286	NA
HG936038	68	149	69	285	NA
HG936822	64	150	77	290	NA
HG936823	64	150	77	290	NA
HG936824	65	150	77	291	NA
HG936825	64	150	77	290	NA
HG936826	64	150	77	290	NA
HG937185	69	149	69	286	NA
HG939524	37	139	80	255	NA
HG939525	37	139	80	255	NA
HG939526	35	139	80	253	NA
HG939527	34	139	80	252	NA
HG939528	34	139	80	252	NA
HG939529	34	139	80	252	NA
HG939530	34	139	80	252	NA
HG939531	34	139	80	252	NA
HG939532	33	139	80	251	NA
HG939533	36	139	80	254	NA
HG939534	36	139	80	254	NA
HG939535	36	139	80	254	NA
HG939536	36	139	80	254	NA
HG939537	34	139	80	252	NA
HG939538	36	139	80	254	NA
HG939539	40	139	80	258	NA
HG939540	40	139	80	258	NA
HG939541	40	139	80	258	NA
HG939542	40	139	80	258	NA
HG939543	40	139	80	258	NA
HG939544	40	139	80	258	NA
HG939545	40	139	80	258	NA
HG939546	37	139	80	255	NA
HG939547	37	139	80	255	NA
HG939548	37	139	80	255	NA
HG939549	39	139	81	258	NA
HG939550	39	139	81	258	NA
HG939551	39	139	81	258	NA
HG939552	39	139	81	258	NA
HM037660	68	149	69	285	NA
HM037662	68	149	69	285	NA
HM044860	82	147	76	304	NA
HM461581	66	150	76	291	NA
HM627146	62	149	64	274	NA
HM777040	69	149	69	286	NA
HQ115737	69	149	69	286	NA
HQ221884	73	150	80	302	NA
HQ446094	65	150	77	291	NA
HQ631029	73	150	82	304	NA
HQ693785	70	150	78	297	NA
HQ693786	70	150	78	297	NA
JF300378	50	152	100	301	NA
JF508436	69	150	78	296	NA
JF907594	69	149	69	286	NA
JN903644	69	149	69	286	NA
JN974286	71	149	69	288	NA
JN974287	72	149	69	289	NA
JN974288	69	149	69	286	NA
JN974289	69	149	69	286	NA
JN974290	68	149	69	285	NA
JN974291	73	149	68	289	NA
JN974292	74	149	68	290	NA
JQ083433	68	149	68	284	NA
JQ291803	74	149	69	291	NA
JQ665417	67	150	72	288	NA
JQ668720	69	149	69	286	NA
JQ668722	69	149	69	286	NA
JQ668723	69	149	69	286	NA
JQ668724	69	149	69	286	NA
JQ668725	69	149	69	286	NA
JQ668727	69	149	69	286	NA
JQ668728	68	149	69	285	NA
JQ668729	68	149	69	285	NA
JQ668730	68	149	69	285	NA
JQ668731	68	149	69	285	NA
JQ668732	68	149	69	285	NA
JQ668733	68	149	69	285	NA
JQ668734	69	149	69	286	NA
JQ668736	68	149	69	285	NA
JQ668737	69	149	69	286	NA
JQ668738	68	149	69	285	NA
JX132425	69	149	69	286	NA
JX132426	69	149	69	286	NA
JX132427	69	149	69	286	NA
JX132429	69	149	69	286	NA
JX132430	69	149	69	286	NA
JX132431	69	149	69	286	NA
JX132432	69	149	69	286	NA
JX132433	69	149	69	286	NA
JX132434	69	149	69	286	NA
JX132436	69	149	69	286	NA
JX132437	69	149	69	286	NA
JX132438	69	149	69	286	NA
JX132440	69	149	69	286	NA
JX132441	69	149	69	286	NA
JX132443	69	149	69	286	NA
JX132445	69	149	69	286	NA
JX132446	69	149	69	286	NA
JX132447	69	149	69	286	NA
JX132448	69	149	69	286	NA
JX132450	69	149	69	286	NA
JX132451	69	149	69	286	NA
JX132452	69	149	69	286	NA
JX132453	69	149	69	286	NA
JX132455	69	149	69	286	NA
JX132456	69	149	69	286	NA
JX132458	69	149	69	286	NA
JX132459	69	149	69	286	NA
JX132460	69	149	69	286	NA
JX132461	69	149	69	286	NA
JX132462	69	149	69	286	NA
JX132463	69	149	69	286	NA
JX132464	69	149	69	286	NA
JX132465	69	149	69	286	NA
JX132466	69	149	69	286	NA
JX132467	69	149	69	286	NA
JX132468	69	149	69	286	NA
JX132469	69	149	69	286	NA
JX132471	69	149	69	286	NA
JX132472	69	149	69	286	NA
JX132473	69	149	69	286	NA
JX132475	69	149	69	286	NA
JX132476	69	149	69	286	NA
JX132478	69	149	69	286	NA
JX132479	69	149	69	286	NA
JX132480	69	149	69	286	NA
JX132481	69	149	69	286	NA
JX132482	69	149	69	286	NA
JX132483	69	149	69	286	NA
JX132484	69	149	69	286	NA
JX132485	69	149	69	286	NA
JX132486	69	149	69	286	NA
JX132487	69	149	69	286	NA
JX132488	69	149	69	286	NA
JX132489	69	149	69	286	NA
JX132490	69	149	69	286	NA
JX132491	69	149	69	286	NA
JX132494	69	149	69	286	NA
JX132495	69	149	69	286	NA
JX132496	69	149	69	286	NA
JX132497	69	149	69	286	NA
JX132498	69	149	69	286	NA
JX132500	69	149	69	286	NA
